,roe,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,ratio8,ratio9,ratio10,ratio11,ev,type1,type2,type3,type4,type5
292,1,0.71 ,67.55 ,104.44 ,32.45 ,95.67 ,1.27 ,1.17 ,298.77 ,4.36 ,4.82 ,48.60 ,13910.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
293,1,1.29 ,53.01 ,112.30 ,46.99 ,92.84 ,0.88 ,0.87 ,204.31 ,7.16 ,8.01 ,31.40 ,29307.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
294,1,1.44 ,51.29 ,118.51 ,48.71 ,91.41 ,0.82 ,0.53 ,201.96 ,8.49 ,10.06 ,38.36 ,12629.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
295,1,1.20 ,53.81 ,112.16 ,46.19 ,92.71 ,0.33 ,0.26 ,191.28 ,7.35 ,8.82 ,32.15 ,29441.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
296,1,1.11 ,47.90 ,108.78 ,52.10 ,91.61 ,0.51 ,0.40 ,179.10 ,7.56 ,8.32 ,33.28 ,72734.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
297,1,1.26 ,60.79 ,115.73 ,39.21 ,92.87 ,0.36 ,1.36 ,241.08 ,6.97 ,8.65 ,32.08 ,30103.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
298,1,0.99 ,54.12 ,114.97 ,45.88 ,94.08 ,0.15 ,0.76 ,185.81 ,5.72 ,7.32 ,29.47 ,29971.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
299,1,0.97 ,54.63 ,113.84 ,45.37 ,94.29 ,0.57 ,0.15 ,221.91 ,5.58 ,6.27 ,46.74 ,14597.70 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
300,1,1.02 ,55.87 ,111.07 ,44.13 ,93.48 ,0.08 ,0.89 ,215.78 ,5.50 ,7.54 ,37.53 ,104699.99 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
301,1,1.22 ,59.03 ,104.42 ,40.97 ,92.27 ,0.27 ,0.40 ,220.42 ,7.74 ,8.11 ,34.12 ,78654.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
302,1,1.67 ,42.53 ,113.93 ,57.47 ,90.89 ,0.14 ,0.43 ,167.05 ,9.10 ,11.43 ,25.42 ,29097.72 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
303,1,1.32 ,53.49 ,111.79 ,46.51 ,91.58 ,0.56 ,0.54 ,154.61 ,8.21 ,9.44 ,33.82 ,136763.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
304,1,1.59 ,48.89 ,113.86 ,51.11 ,90.84 ,0.40 ,0.37 ,183.30 ,8.96 ,10.69 ,29.73 ,57890.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
305,1,1.18 ,52.08 ,113.39 ,47.92 ,93.12 ,0.30 ,0.82 ,177.27 ,6.85 ,7.67 ,33.15 ,32268.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
306,1,1.55 ,50.23 ,113.94 ,49.77 ,91.46 ,0.16 ,1.34 ,191.61 ,8.32 ,9.95 ,28.74 ,26450.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
307,1,1.75 ,41.34 ,113.67 ,58.66 ,89.54 ,0.41 ,1.04 ,154.86 ,10.13 ,11.85 ,23.83 ,82455.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
308,1,1.70 ,51.31 ,96.43 ,48.69 ,89.19 ,0.64 ,1.73 ,192.30 ,10.80 ,10.85 ,30.21 ,41350.27 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
309,1,1.23 ,49.47 ,113.86 ,50.53 ,93.68 ,0.31 ,0.48 ,185.86 ,6.24 ,8.09 ,37.95 ,44821.97 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
310,1,0.83 ,63.58 ,111.80 ,36.42 ,94.02 ,0.07 ,0.13 ,194.84 ,5.31 ,5.82 ,31.14 ,368217.63 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
311,1,1.10 ,54.76 ,113.14 ,45.24 ,92.56 ,0.30 ,1.00 ,195.96 ,7.42 ,8.57 ,35.18 ,72042.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
312,1,1.32 ,54.62 ,117.41 ,45.38 ,93.01 ,0.27 ,1.31 ,207.53 ,6.76 ,7.98 ,35.78 ,19697.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
313,1,2.02 ,41.19 ,113.41 ,58.81 ,88.84 ,0.68 ,1.59 ,157.10 ,10.99 ,12.75 ,25.55 ,42315.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
314,1,0.84 ,62.44 ,111.20 ,37.56 ,94.11 ,0.51 ,0.20 ,207.51 ,5.87 ,6.39 ,26.92 ,167907.52 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
315,1,1.56 ,37.49 ,116.42 ,62.51 ,91.28 ,1.06 ,0.53 ,121.17 ,8.71 ,9.42 ,32.26 ,29381.98 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
316,1,1.56 ,51.94 ,110.19 ,48.06 ,92.17 ,0.13 ,0.10 ,191.93 ,7.11 ,8.36 ,43.14 ,339794.25 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
317,1,1.09 ,68.38 ,111.56 ,31.62 ,93.89 ,0.58 ,0.19 ,178.80 ,6.10 ,6.79 ,32.01 ,21991.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
318,1,1.66 ,41.49 ,115.54 ,58.51 ,92.08 ,0.59 ,0.92 ,163.45 ,7.94 ,9.95 ,27.53 ,40395.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
319,1,1.62 ,62.11 ,113.90 ,37.89 ,92.63 ,0.12 ,0.10 ,228.44 ,6.68 ,8.85 ,46.32 ,333099.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
320,1,1.47 ,65.30 ,118.68 ,34.70 ,92.43 ,0.25 ,0.00 ,273.54 ,7.58 ,8.45 ,31.04 ,45637.23 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
321,1,1.42 ,51.65 ,115.80 ,48.35 ,92.64 ,1.06 ,0.19 ,187.27 ,7.37 ,7.93 ,33.69 ,42754.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
322,1,1.39 ,42.21 ,118.08 ,57.79 ,93.31 ,0.08 ,0.41 ,141.41 ,6.01 ,7.95 ,24.39 ,881781.47 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
323,1,0.88 ,75.64 ,119.82 ,24.36 ,95.13 ,0.23 ,0.02 ,291.59 ,3.79 ,3.92 ,20.80 ,369440.07 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
324,1,1.09 ,72.35 ,118.00 ,27.65 ,94.22 ,0.43 ,0.00 ,416.21 ,5.79 ,5.97 ,22.20 ,82694.77 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
325,1,1.71 ,48.77 ,119.77 ,51.23 ,94.24 ,1.66 ,0.44 ,76.80 ,5.72 ,6.46 ,29.57 ,21492.63 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
326,1,1.38 ,59.74 ,117.45 ,40.26 ,94.98 ,1.17 ,0.35 ,240.81 ,4.99 ,5.56 ,39.00 ,9948.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
327,1,2.24 ,71.11 ,131.35 ,28.89 ,92.32 ,0.75 ,0.03 ,244.71 ,7.44 ,8.04 ,22.30 ,407219.86 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
328,0,0.79 ,68.60 ,121.37 ,31.40 ,92.00 ,1.91 ,0.00 ,323.18 ,7.92 ,9.19 ,53.25 ,5123.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
329,1,1.17 ,53.60 ,106.02 ,46.40 ,91.79 ,1.68 ,0.26 ,213.52 ,8.16 ,9.37 ,45.77 ,7239.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
330,0,1.37 ,56.45 ,105.12 ,43.55 ,86.62 ,1.91 ,0.39 ,222.60 ,13.30 ,15.18 ,41.87 ,6064.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
331,0,0.63 ,69.63 ,104.77 ,30.37 ,93.80 ,1.54 ,0.40 ,182.85 ,6.19 ,6.59 ,51.81 ,9773.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
332,1,1.36 ,56.78 ,105.13 ,43.22 ,91.80 ,2.06 ,0.27 ,223.50 ,8.07 ,8.91 ,44.71 ,6778.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
333,0,0.31 ,86.21 ,101.28 ,13.79 ,94.29 ,0.21 ,0.36 ,466.17 ,5.71 ,6.12 ,54.15 ,9249.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
334,0,1.31 ,57.16 ,108.43 ,42.84 ,90.67 ,1.92 ,0.20 ,224.45 ,9.21 ,10.29 ,41.52 ,7211.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
335,1,1.78 ,43.93 ,106.45 ,56.07 ,86.93 ,2.48 ,2.18 ,179.91 ,13.00 ,15.33 ,39.22 ,6644.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
336,0,1.09 ,71.49 ,108.06 ,28.51 ,90.76 ,2.03 ,1.87 ,355.60 ,9.15 ,10.90 ,48.79 ,5168.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
337,0,0.49 ,80.81 ,103.64 ,19.19 ,91.43 ,0.80 ,0.36 ,496.89 ,8.40 ,9.15 ,49.09 ,9151.19 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
338,0,0.28 ,87.98 ,101.14 ,12.02 ,94.75 ,1.21 ,0.24 ,848.18 ,5.22 ,5.79 ,44.33 ,10323.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
339,0,0.94 ,59.47 ,105.32 ,40.53 ,91.37 ,4.42 ,1.36 ,231.38 ,8.64 ,9.86 ,34.95 ,10545.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
340,0,0.74 ,77.38 ,107.56 ,22.62 ,92.53 ,1.61 ,0.42 ,280.63 ,7.46 ,9.96 ,75.70 ,11453.05 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
341,0,0.54 ,71.66 ,107.10 ,28.34 ,95.80 ,0.16 ,0.33 ,168.17 ,4.12 ,4.89 ,60.45 ,14810.73 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
342,1,1.42 ,52.53 ,107.46 ,47.47 ,91.63 ,2.43 ,0.26 ,208.34 ,8.31 ,10.03 ,42.30 ,9640.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
343,0,0.82 ,52.57 ,105.72 ,47.43 ,88.86 ,6.66 ,0.00 ,102.75 ,11.14 ,12.68 ,29.53 ,16797.67 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
344,1,1.02 ,60.65 ,111.23 ,39.35 ,95.05 ,1.78 ,1.13 ,210.86 ,4.89 ,5.70 ,43.08 ,12879.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
345,1,1.15 ,51.42 ,111.96 ,48.58 ,93.30 ,3.17 ,0.13 ,117.82 ,6.69 ,7.49 ,43.31 ,13671.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
346,1,0.63 ,70.30 ,108.93 ,29.70 ,95.63 ,0.26 ,0.79 ,104.74 ,4.06 ,4.22 ,56.29 ,15060.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
347,0,0.71 ,74.66 ,105.18 ,25.34 ,93.96 ,0.27 ,0.58 ,255.67 ,5.91 ,6.37 ,42.33 ,11089.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
348,1,1.65 ,50.05 ,118.96 ,49.95 ,92.49 ,6.35 ,0.89 ,147.83 ,7.51 ,8.30 ,44.72 ,10252.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
349,0,0.30 ,88.55 ,102.24 ,11.45 ,91.77 ,0.60 ,0.09 ,599.80 ,8.17 ,8.86 ,42.75 ,14686.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
350,1,1.28 ,58.56 ,109.90 ,41.44 ,92.24 ,2.89 ,0.44 ,188.54 ,7.76 ,8.33 ,36.82 ,11523.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
351,0,0.74 ,66.53 ,102.92 ,33.47 ,93.70 ,0.23 ,0.41 ,93.62 ,6.06 ,6.42 ,51.61 ,17138.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
352,1,2.33 ,36.79 ,115.65 ,63.21 ,88.63 ,4.77 ,0.61 ,112.96 ,11.43 ,12.99 ,34.81 ,10877.23 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
353,1,0.99 ,41.84 ,158.35 ,58.16 ,93.46 ,2.68 ,0.23 ,156.47 ,6.12 ,10.30 ,40.69 ,30714.49 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
354,1,1.71 ,63.65 ,95.59 ,36.35 ,89.30 ,2.22 ,0.92 ,270.68 ,10.54 ,11.69 ,34.02 ,9519.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
355,0,1.17 ,64.00 ,103.06 ,36.00 ,65.87 ,3.34 ,0.00 ,146.48 ,34.11 ,33.37 ,47.49 ,9464.55 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
356,0,0.69 ,63.69 ,108.50 ,36.31 ,92.35 ,2.71 ,1.33 ,119.67 ,7.70 ,8.45 ,38.82 ,23829.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
357,0,0.42 ,85.41 ,104.07 ,14.59 ,91.89 ,1.13 ,0.13 ,432.20 ,8.12 ,8.21 ,34.04 ,15767.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
358,1,1.43 ,52.62 ,114.50 ,47.38 ,92.47 ,5.93 ,0.57 ,213.11 ,7.54 ,8.71 ,37.01 ,16323.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
359,0,1.15 ,58.74 ,110.32 ,41.26 ,89.96 ,27.71 ,0.30 ,165.34 ,9.82 ,10.91 ,39.57 ,17999.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
360,0,0.19 ,93.96 ,101.92 ,6.04 ,89.30 ,0.45 ,0.06 ,2069.99 ,10.73 ,10.91 ,38.79 ,12089.26 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
361,1,1.18 ,51.53 ,107.24 ,48.47 ,92.12 ,3.05 ,0.35 ,201.73 ,7.69 ,8.52 ,41.98 ,21567.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
362,1,1.98 ,45.10 ,108.89 ,54.90 ,88.59 ,3.99 ,0.39 ,175.23 ,11.38 ,13.23 ,32.67 ,15228.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
363,0,1.07 ,69.87 ,108.78 ,30.13 ,90.99 ,3.38 ,0.73 ,240.25 ,9.11 ,10.31 ,37.19 ,15915.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
364,0,0.72 ,74.09 ,110.44 ,25.91 ,92.66 ,4.67 ,0.39 ,357.53 ,7.29 ,7.30 ,41.43 ,20114.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
365,1,0.75 ,73.98 ,98.68 ,26.02 ,94.88 ,3.53 ,0.54 ,354.21 ,5.06 ,5.30 ,40.12 ,19842.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
366,0,0.40 ,81.93 ,101.12 ,18.07 ,89.06 ,1.06 ,1.24 ,200.59 ,10.88 ,11.94 ,44.10 ,24075.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
367,0,0.85 ,63.64 ,104.33 ,36.36 ,92.89 ,3.95 ,0.20 ,262.19 ,7.51 ,8.08 ,45.39 ,24751.62 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
368,1,1.00 ,71.83 ,110.44 ,28.17 ,92.91 ,3.51 ,0.70 ,267.41 ,6.99 ,7.75 ,40.44 ,16575.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
369,0,-0.18 ,108.61 ,98.30 ,-8.61 ,75.09 ,-0.33 ,0.00 ,-531.95 ,24.91 ,22.04 ,59.91 ,13784.12 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
370,1,1.30 ,60.39 ,115.58 ,39.61 ,92.28 ,2.44 ,0.66 ,248.97 ,7.71 ,8.65 ,31.68 ,17812.91 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
371,0,0.76 ,66.20 ,108.18 ,33.80 ,93.43 ,5.54 ,0.15 ,298.10 ,6.46 ,7.52 ,38.87 ,19705.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
372,1,0.87 ,66.75 ,109.66 ,33.25 ,93.56 ,3.97 ,0.24 ,183.21 ,6.39 ,7.02 ,38.23 ,24125.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
373,0,0.64 ,73.16 ,103.52 ,26.84 ,92.40 ,1.21 ,0.88 ,346.96 ,7.46 ,8.17 ,36.56 ,25710.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
374,1,0.86 ,67.44 ,128.17 ,32.56 ,93.51 ,0.84 ,0.43 ,220.28 ,6.48 ,7.40 ,40.49 ,24985.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
375,1,1.23 ,58.22 ,116.01 ,41.78 ,92.29 ,3.23 ,0.44 ,221.42 ,7.43 ,8.31 ,36.43 ,22551.19 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
376,1,1.64 ,48.51 ,107.42 ,51.49 ,89.27 ,2.96 ,0.92 ,184.40 ,10.65 ,12.29 ,34.02 ,19682.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
377,1,1.26 ,54.84 ,113.24 ,45.16 ,91.97 ,6.04 ,0.70 ,134.22 ,8.14 ,9.28 ,35.99 ,24215.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
378,1,0.81 ,64.48 ,107.69 ,35.52 ,93.88 ,0.28 ,0.56 ,155.43 ,5.85 ,6.58 ,48.61 ,29906.17 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
379,1,1.87 ,48.48 ,107.24 ,51.52 ,86.14 ,3.08 ,0.86 ,181.55 ,13.69 ,15.41 ,29.02 ,17529.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
380,0,1.10 ,58.57 ,111.16 ,41.43 ,90.64 ,7.55 ,0.88 ,145.77 ,9.36 ,10.94 ,35.56 ,26310.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
381,0,0.52 ,79.71 ,105.06 ,20.29 ,93.57 ,1.99 ,0.49 ,299.96 ,6.42 ,7.21 ,45.58 ,26510.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
382,1,1.23 ,52.34 ,112.59 ,47.66 ,91.59 ,5.25 ,0.69 ,122.46 ,8.06 ,9.05 ,34.91 ,27861.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
383,1,1.49 ,46.49 ,113.58 ,53.51 ,91.80 ,8.06 ,0.04 ,185.23 ,8.09 ,9.47 ,31.69 ,25285.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
384,1,1.96 ,45.02 ,116.52 ,54.98 ,91.97 ,4.53 ,0.66 ,144.20 ,7.70 ,8.58 ,31.84 ,20508.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
385,1,1.19 ,64.59 ,120.11 ,35.41 ,92.74 ,1.31 ,0.80 ,252.84 ,7.26 ,8.42 ,36.20 ,21986.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
386,0,0.56 ,68.37 ,104.57 ,31.63 ,92.15 ,0.24 ,0.14 ,67.93 ,7.82 ,9.11 ,46.35 ,36724.69 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
387,1,1.61 ,58.71 ,116.09 ,41.29 ,90.66 ,2.73 ,0.47 ,249.01 ,9.27 ,11.00 ,29.84 ,18334.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
388,1,1.59 ,59.58 ,108.13 ,40.42 ,91.40 ,1.70 ,0.30 ,239.54 ,8.55 ,9.78 ,31.32 ,19629.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
389,0,0.47 ,81.38 ,106.69 ,18.62 ,92.90 ,1.24 ,0.31 ,543.51 ,7.10 ,7.84 ,36.20 ,28298.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
390,0,0.82 ,72.00 ,107.09 ,28.00 ,92.45 ,3.99 ,0.97 ,366.44 ,7.45 ,8.69 ,32.72 ,25070.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
391,1,1.45 ,52.54 ,115.21 ,47.46 ,92.35 ,2.58 ,0.02 ,140.71 ,7.65 ,8.40 ,37.71 ,25953.41 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
392,0,0.35 ,85.23 ,102.12 ,14.77 ,92.59 ,3.65 ,0.68 ,476.05 ,7.41 ,8.24 ,38.65 ,33358.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
393,0,0.45 ,85.35 ,104.36 ,14.65 ,92.48 ,1.23 ,0.00 ,739.75 ,7.52 ,7.52 ,34.03 ,22005.51 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
394,0,0.80 ,72.32 ,107.98 ,27.68 ,91.82 ,4.22 ,0.42 ,233.25 ,8.17 ,9.15 ,37.55 ,26705.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
395,0,0.00 ,100.42 ,100.25 ,-0.42 ,86.81 ,-0.01 ,0.39 ,-36613.06 ,13.17 ,13.50 ,55.66 ,51386.98 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
396,0,0.87 ,72.20 ,106.57 ,27.80 ,93.47 ,1.50 ,1.10 ,365.74 ,6.53 ,6.69 ,47.62 ,26921.92 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
397,1,1.12 ,51.24 ,110.59 ,48.76 ,93.08 ,0.46 ,0.52 ,81.58 ,6.79 ,7.62 ,41.25 ,36803.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
398,1,1.15 ,62.89 ,110.73 ,37.11 ,92.49 ,2.14 ,0.70 ,251.77 ,7.47 ,9.01 ,35.29 ,29409.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
399,0,0.79 ,62.74 ,106.79 ,37.26 ,91.11 ,2.14 ,0.40 ,230.73 ,8.77 ,9.97 ,38.26 ,41986.41 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
400,0,1.12 ,60.50 ,105.65 ,39.50 ,88.92 ,2.17 ,1.23 ,249.56 ,11.15 ,12.74 ,43.49 ,31382.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
401,1,1.30 ,59.28 ,109.66 ,40.72 ,90.59 ,2.89 ,0.97 ,151.69 ,9.37 ,10.57 ,33.41 ,30031.84 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
402,0,1.25 ,48.76 ,108.70 ,51.24 ,90.19 ,5.34 ,0.71 ,132.15 ,9.79 ,10.67 ,32.36 ,36947.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
403,0,0.78 ,60.25 ,106.38 ,39.75 ,92.30 ,3.27 ,0.62 ,91.78 ,7.70 ,8.55 ,36.77 ,48919.08 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
404,0,0.03 ,96.62 ,97.18 ,3.38 ,93.74 ,0.14 ,0.01 ,3019.72 ,6.26 ,6.34 ,53.76 ,83209.84 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
405,1,1.01 ,73.21 ,112.79 ,26.79 ,92.53 ,1.47 ,0.00 ,565.68 ,7.48 ,9.05 ,25.54 ,27276.42 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
406,1,1.98 ,48.80 ,109.31 ,51.20 ,89.67 ,2.58 ,0.74 ,188.10 ,10.31 ,11.60 ,30.98 ,25864.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
407,1,1.19 ,56.38 ,106.66 ,43.62 ,91.66 ,3.08 ,0.99 ,202.20 ,8.34 ,9.37 ,30.52 ,37002.27 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
408,0,0.69 ,70.07 ,107.11 ,29.93 ,92.17 ,4.43 ,0.74 ,289.87 ,7.81 ,8.96 ,33.95 ,46137.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
409,1,1.33 ,56.34 ,109.20 ,43.66 ,91.54 ,4.66 ,0.29 ,213.32 ,8.45 ,10.02 ,27.58 ,38180.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
410,0,1.20 ,46.19 ,106.34 ,53.81 ,90.80 ,3.59 ,0.55 ,170.29 ,9.27 ,9.94 ,37.18 ,50227.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
411,1,1.53 ,48.01 ,111.61 ,51.99 ,90.56 ,4.89 ,0.95 ,154.83 ,9.43 ,10.14 ,34.43 ,40178.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
412,1,1.15 ,50.16 ,107.23 ,49.84 ,92.04 ,5.42 ,0.16 ,184.82 ,7.90 ,9.15 ,36.06 ,57298.69 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
413,0,1.09 ,54.00 ,108.82 ,46.00 ,91.50 ,2.92 ,0.38 ,184.51 ,8.51 ,9.50 ,29.01 ,51762.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
414,0,0.27 ,86.21 ,102.14 ,13.79 ,93.76 ,1.01 ,0.32 ,782.05 ,6.16 ,6.90 ,43.01 ,56613.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
415,1,1.12 ,59.01 ,110.06 ,40.99 ,90.65 ,2.87 ,0.47 ,131.13 ,9.02 ,10.22 ,35.62 ,42971.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
416,0,0.78 ,69.36 ,103.95 ,30.64 ,90.28 ,3.52 ,0.36 ,302.08 ,9.67 ,9.98 ,41.08 ,46643.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
417,0,1.22 ,65.99 ,106.55 ,34.01 ,88.53 ,2.08 ,0.54 ,271.86 ,11.47 ,12.72 ,42.23 ,35106.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
418,1,1.62 ,43.77 ,110.73 ,56.23 ,90.48 ,4.96 ,0.23 ,162.79 ,9.38 ,10.25 ,34.17 ,43158.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
419,1,1.86 ,49.63 ,112.19 ,50.37 ,89.51 ,3.75 ,1.30 ,162.19 ,10.48 ,11.94 ,29.00 ,35829.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
420,0,0.53 ,75.23 ,102.87 ,24.77 ,92.87 ,1.19 ,0.25 ,330.09 ,7.12 ,7.63 ,46.98 ,65725.29 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
421,0,0.96 ,60.03 ,107.27 ,39.97 ,90.62 ,2.86 ,1.77 ,211.09 ,9.08 ,10.24 ,34.78 ,61411.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
422,0,0.94 ,62.41 ,108.22 ,37.59 ,91.14 ,3.60 ,0.76 ,221.62 ,7.53 ,9.96 ,36.90 ,58281.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
