,roe,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,ratio8,ratio9,ratio10,ratio11,ev,type1,type2,type3,type4,type5
199,0,0.76 ,52.20 ,101.13 ,47.80 ,91.60 ,0.51 ,0.42 ,172.43 ,8.20 ,9.19 ,42.39 ,18084.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
200,0,0.97 ,70.15 ,106.40 ,29.85 ,92.73 ,0.67 ,0.57 ,322.63 ,7.27 ,8.31 ,37.84 ,17580.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
201,0,0.96 ,62.93 ,109.11 ,37.07 ,91.65 ,0.42 ,0.12 ,359.09 ,8.35 ,9.84 ,25.81 ,52036.09 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
202,0,0.77 ,61.31 ,103.64 ,38.69 ,92.89 ,0.40 ,0.39 ,235.35 ,6.91 ,7.35 ,36.02 ,25549.55 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
203,0,0.96 ,56.98 ,109.98 ,43.02 ,92.32 ,0.27 ,0.81 ,222.93 ,7.51 ,8.69 ,34.60 ,42431.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
204,0,0.87 ,64.95 ,105.67 ,35.05 ,92.21 ,0.05 ,1.16 ,243.16 ,6.66 ,7.02 ,28.23 ,378792.88 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
205,0,0.64 ,72.98 ,107.27 ,27.02 ,94.00 ,0.37 ,1.25 ,291.91 ,5.58 ,6.67 ,33.50 ,17585.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
206,0,1.06 ,62.67 ,110.94 ,37.33 ,91.66 ,0.21 ,1.14 ,237.51 ,7.61 ,9.24 ,26.82 ,74637.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
207,0,0.80 ,71.65 ,106.06 ,28.35 ,93.57 ,0.12 ,0.28 ,288.57 ,5.25 ,7.63 ,25.50 ,160614.90 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
208,0,0.83 ,63.92 ,112.78 ,36.08 ,91.76 ,0.05 ,1.64 ,234.79 ,7.84 ,8.30 ,30.41 ,515583.77 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
209,0,0.97 ,56.71 ,105.22 ,43.29 ,90.12 ,0.51 ,0.43 ,192.52 ,9.91 ,11.12 ,34.93 ,118751.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
210,0,0.66 ,73.76 ,106.88 ,26.24 ,93.38 ,0.12 ,0.19 ,443.58 ,5.44 ,7.56 ,27.82 ,153829.24 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
211,0,0.90 ,51.90 ,108.22 ,48.10 ,91.75 ,0.36 ,0.47 ,173.07 ,7.83 ,8.95 ,30.78 ,118621.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
212,0,1.04 ,60.68 ,109.38 ,39.32 ,91.29 ,0.31 ,0.13 ,248.94 ,8.68 ,9.39 ,31.73 ,23120.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
213,0,0.79 ,61.84 ,106.66 ,38.16 ,93.35 ,0.76 ,0.26 ,257.10 ,6.64 ,7.60 ,43.01 ,190967.05 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
214,0,0.83 ,67.39 ,108.73 ,32.61 ,92.00 ,0.14 ,0.16 ,234.93 ,7.73 ,9.14 ,24.28 ,64316.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
215,0,0.85 ,61.53 ,115.10 ,38.47 ,92.21 ,0.24 ,0.78 ,217.57 ,7.69 ,8.45 ,36.83 ,26165.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
216,0,1.00 ,54.85 ,118.71 ,45.15 ,90.93 ,0.28 ,0.63 ,168.98 ,7.72 ,9.98 ,36.32 ,214601.17 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
